block_c,PID,accuracy_value,accuracy_se,confidence_value,confidence_se
6,06AL,0.8333333333333334,0.15214515486254612,0.6371,0.10966162442232037
6,06CS,0,0,0.85195,0.014438639367139032
6,07CS,0.5,0.2041241452319315,0.48256666666666664,0.03323854410096401
6,07al,0.5,0.2041241452319315,0.6776,0.05881661870690641
7,01LF,0.6666666666666666,0.19245008972987526,0.6084833333333334,0.027720719637318612
7,01al,0.6666666666666666,0.19245008972987526,0.6788,0.08320215552460196
7,01cs,0.3333333333333333,0.19245008972987526,0.7296,0.006034047446323391
7,02CS,0.6666666666666666,0.19245008972987526,0.7615333333333334,0.0385244462687015
7,02LF,0.8333333333333334,0.15214515486254612,0.5966333333333333,0.04031587271166311
7,02al,0.25,0.21650635094610965,0.698125,0.09884189057853883
7,03AL,0.5,0.2041241452319315,0.7698,0.10763770956157329
7,03CS,0.8333333333333334,0.15214515486254612,0.79815,0.0522108847170328
7,03LF,0.5,0.2041241452319315,0.7284333333333333,0.009198712821216282
7,04AL,0.3333333333333333,0.19245008972987526,0.58095,0.05356553887532183
7,04CS,0.6666666666666666,0.19245008972987526,0.5924833333333334,0.04541807494370121
7,04LF,0.6666666666666666,0.19245008972987526,0.8525333333333334,0.04119915327073947
7,05AL,0.8333333333333334,0.15214515486254612,0.7432166666666666,0.06421559634997061
7,05CS,0,0,0.47223333333333334,0.018953588326845107
7,06AL,1,0,0.7101,0.07455760504692636
7,06CS,0.16666666666666666,0.15214515486254615,0.7783666666666667,0.06859135689599809
7,07CS,0.5,0.2041241452319315,0.4639333333333333,0.06948356249061514
7,07al,0.3333333333333333,0.19245008972987526,0.789,0.04413993006188176
8,01LF,0.6666666666666666,0.19245008972987526,0.6013833333333333,0.04210240363131215
8,01al,0.6666666666666666,0.19245008972987526,0.5602833333333334,0.08862092383698969
8,01cs,0.5,0.2041241452319315,0.7107,0.008066861694049564
8,02CS,0.6666666666666666,0.19245008972987526,0.6693333333333333,0.057203527368503544
8,02LF,0.3333333333333333,0.19245008972987526,0.6468833333333333,0.057138321129477636
8,02al,0.75,0.21650635094610965,0.659575,0.12132928664867454
8,03AL,0.8333333333333334,0.15214515486254612,0.8165,0.11067118905430585
8,03CS,0.8333333333333334,0.15214515486254612,0.8974666666666666,0.01860509372188643
8,03LF,0.6666666666666666,0.19245008972987526,0.7053833333333334,0.02010717746933638
8,04AL,0.5,0.2041241452319315,0.5794833333333334,0.04909123506882676
8,04CS,0.5,0.2041241452319315,0.6524833333333333,0.08492567792058402
8,04LF,1,0,0.8259333333333333,0.05689869855914205
